century,author,link
18,"Du Châtelet, Gabrielle-Émilie Le Tonnelier de Breteuil, Marquise (1706-1749) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22chatelet%20emilie%20marquise%22%20or%20dc.contributor%20all%20%22chatelet%20emilie%20marquise%22%20)%20&suggest=10&keywords=chatelet%20emilie%20marquise
18,"Du Deffand, Marie-Anne de Vichy-Chamrond, marquise (1697-1780) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&collapsing=disabled&query=dc.relation%20all%20%22cb30367190w%22
18,"Epinay, Louise Tardieu d'Esclavelles, dite Madame d' (1726-1783) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Epinay%2C%20Louise%20Tardieu%20d%27Esclavelles%22%20or%20dc.contributor%20all%20%22Epinay%2C%20Louise%20Tardieu%20d%27Esclavelles%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Feutry, Aimé-Ambroise-Joseph (1720-1789) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Feutry,%20Aim%C3%A9%22%20or%20dc.contributor%20all%20%22Feutry,%20Aim%C3%A9%22%20)%20&suggest=10&keywords=Feutry,%20Aim%C3%A9"
18,"Florian, Jean-Pierre Claris de (1755-1794) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22florian%20jean%20pierre%20claris%22%20or%20dc.contributor%20all%20%22florian%20jean%20pierre%20claris%22%20)%20&suggest=10&keywords=florian%20jean%20pierre%20claris
18,"Fontanes, Louis de (1757-1821) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Fontanes,%20Louis%20de%20(1759-1821)%22%20or%20dc.contributor%20all%20%22Fontanes,%20Louis%20de%20(1759-1821)%22%20)%20&suggest=10&keywords=Fontanes,%20Louis%20de%20(1759-1821)"
18,"Galland, Antoine (1763-1851) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Galland%2C%20Antoine%22%20or%20dc.contributor%20all%20%22Galland%2C%20Antoine%22%20%29%20&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22galland%2C%20antoine%20%281763-1851%29.%20auteur%20du%20texte%22
18,"Genlis, Caroline Stéphanie Félicité du Crest de Saint Aubin, comtesse de, dite Madame de (1746-1830) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Genlis%20%2C%20St%C3%A9phanie%22%20or%20dc.contributor%20all%20%22Genlis%20%2C%20St%C3%A9phanie%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Geoffrin, Marie-Thérèse (1699-1777) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22geoffrin%20marie%20th%C3%A9rese%22%20or%20dc.contributor%20all%20%22geoffrin%20marie%20th%C3%A9rese%22%20)%20&suggest=10&keywords=geoffrin%20marie%20th%C3%A9rese
18,"Gouges, pseud. de Marie Olympe Aubry, née Gouze, dite Olympe de (1748-1793) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22gouges%2C%20olympe%20de%22%20or%20dc.contributor%20all%20%22gouges%2C%20olympe%20de%22%20%29%20&filter=dc.type%20all%20%22monographie%22%20and%20dc.creator%20all%20%22gouges%2C%20olympe%20de%20%281748-1793%29.%20auteur%20du%20texte%22
18,"Graffigny, Françoise d'Issembourg d'Happoncourt, Madame de (1695-1758) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Graffigny%2C%20Fran%C3%A7oise%20%22%20or%20dc.contributor%20all%20%22Graffigny%2C%20Fran%C3%A7oise%20%22%20%29%20&filter=dc.creator%20all%20%22graffigny%2C%20fran%C3%A7oise%20de%20%281695-1758%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22
18,"Grimod de La Reynière, Alexandre Balthazar (1758-1838) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Grimod%20de%20La%20Reyni%C3%A8re%2C%20Alexandre%20Balthazar%22%20or%20dc.contributor%20all%20%22Grimod%20de%20La%20Reyni%C3%A8re%2C%20Alexandre%20Balthazar%22%20%29%20&filter=dc.creator%20all%20%22grimod%20de%20la%20reyni%C3%A8re%2C%20alexandre-balthazar-laurent%20%281758-1837%29.%20auteur%20du%20texte%22
18,"Helvétius, Claude-Adrien (1715-1771) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Helv%C3%A9tius%2C%20Claude-Adrien%20%22%20or%20dc.contributor%20all%20%22Helv%C3%A9tius%2C%20Claude-Adrien%20%22%20%29%20&filter=dc.creator%20all%20%22helv%C3%A9tius%2C%20claude-adrien%20%281715-1771%29.%20auteur%20du%20texte%22
18,"Holbach, Paul Henri Dietrich baron d' (1723-1789)  (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Holbach%2C%20Paul%20Henri%20Dietrich%22%20or%20dc.contributor%20all%20%22Holbach%2C%20Paul%20Henri%20Dietrich%22%20%29%20&filter=dc.creator%20all%20%22holbach%2C%20paul%20henri%20dietrich%20%281723-1789%20%3B%20baron%20d%27%29.%20auteur%20du%20texte%22
18,"Jaucourt, Louis de, chevalier de (1704-1780) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Jaucourt,%20Louis%201704%22%20or%20dc.contributor%20all%20%22Jaucourt,%20Louis%201704%22%20)%20&suggest=10&keywords=Jaucourt,%20Louis%201704"
18,"Krüdener, Barbara Juliane von (1764-1824) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator all %22Krüdener, Barbara Juliane von %22 or dc.contributor all %22Krüdener, Barbara Juliane von %22 ) &suggest=10&keywords=Krüdener, Barbara Juliane von"
18,"L'Héritier de Villandon, Marie-Jeanne (1664-1734) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22%20L%27H%C3%A9ritier%20de%20Villandon,%20Marie-Jeanne%20%22%20or%20dc.contributor%20all%20%22%20L%27H%C3%A9ritier%20de%20Villandon,%20Marie-Jeanne%20%22%20)%20&suggest=10&keywords=%20L%27H%C3%A9ritier%20de%20Villandon,%20Marie-Jeanne"
