century;identifier;author;title;rights
19;https://gallica.bnf.fr/ark:/12148/bpt6k33327161;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);La grille : roman / Pierre-Louis Humbert;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3360989t;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Les Animaux d'Afrique... / Pierre-Louis Millet;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k33458548;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Vacances en Alsace : guide du touriste et du campeur / [Pierre-Louis Hurst];"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k33362688;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Génération vendeur : nous vendons tous, tout le temps, quelque chose aux autres / Pierre-Louis Criqui;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k33220222;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Les Mauges mystérieuses / Pierre-Louis Augereau;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3336401s;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Dessine-moi un client ! : la méthode Criqui ou les secrets des meilleurs vendeurs / Pierre Louis Criqui;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k33209889;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"Van Gogh en pays d'Arles / Sylvie Gache-Patin ; photographies, Serge Briez, Pierre-Louis Suet";"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k4801056d;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Vivre le Québec libre / Pierre-Louis Mallen;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3337794s;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);Économie généralisée et seuils de croissance , étude de la psychologie économique du développement U.R.S.S., Tunisie, Portugal, par Pierre-Louis Reynaud,...;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3371321r;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"La chasse / avant-propos de Jean de La Varende ; commentaire de P. L. Duchartre";"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3392589w;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);"J'ai commandé ""Normandie"" / Commandant Thoreux";"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k3396973n;Louÿs, Pierre (1870-1925) (nouvelle fenêtre);L'aventure du pétrole lorrain : ces étonnants fous de l'or noir avec une étrange obsession / Pierre-Louis Maubeuge;"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
19;https://gallica.bnf.fr/ark:/12148/bpt6k65653101;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Voyage autour de ma chambre / Xavier de Maistre ; préface par Alex. Piedagnel... ; six gravures de C. Delort";['domaine public', 'public domain']
19;https://gallica.bnf.fr/ark:/12148/bpt6k5805339c;Maistre, Xavier de (1763-1852) (nouvelle fenêtre);"Les prisonniers du Caucase ; La jeune sibérienne / X. de Maistre";['domaine public', 'public domain']
